"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Â ","","",""
"Alvin Kamara","NO","12.2","53.9","0.6","6.6","57.6","0.3","0.1","19.2"
"","high","17.0","70.0","1.0","9.1","88.0","0.5","0.0","21.8"
"","low","8.6","39.0","0.2","5.2","39.1","0.0","0.2","17.9"
"Dalvin Cook","MIN","19.0","88.5","0.9","3.2","27.1","0.1","0.1","18.9"
"","high","22.1","105.0","1.3","4.0","35.7","0.3","0.1","21.8"
"","low","15.9","71.0","0.5","2.3","15.0","0.0","0.2","13.6"
"Christian McCaffrey","CAR","13.7","64.3","0.6","5.0","41.9","0.2","0.1","17.6"
"","high","15.0","76.8","1.0","5.6","47.7","0.3","0.0","20.3"
"","low","13.1","54.8","0.4","4.0","33.0","0.0","0.2","16.1"
"Derrick Henry","TEN","21.5","99.0","0.8","1.9","15.1","0.1","0.1","17.4"
"","high","23.6","105.0","1.0","3.0","24.0","0.2","0.1","19.4"
"","low","18.1","90.2","0.3","1.2","9.5","0.0","0.2","15.9"
"James Conner","PIT","17.8","77.3","0.8","2.9","23.0","0.1","0.1","16.7"
"","high","23.0","91.0","1.1","4.5","36.0","0.2","0.1","18.6"
"","low","14.9","68.0","0.6","2.0","18.0","0.0","0.2","14.3"
"James Robinson","JAC","16.9","76.9","0.7","3.2","28.4","0.1","0.1","16.5"
"","high","19.2","90.4","1.0","3.7","42.0","0.2","0.0","17.3"
"","low","15.1","65.0","0.5","2.5","21.9","0.0","0.2","14.8"
"Chase Edmonds","ARI","13.0","63.6","0.6","3.5","29.6","0.2","0.1","15.6"
"","high","18.7","86.0","1.0","4.4","39.6","0.4","0.0","19.0"
"","low","4.1","17.0","0.2","2.6","17.0","0.0","0.2","6.9"
"Josh Jacobs","LV","19.2","80.8","0.7","2.6","18.7","0.1","0.1","15.4"
"","high","20.8","97.8","1.0","3.0","23.0","0.1","0.1","16.6"
"","low","17.0","66.2","0.4","2.0","16.0","0.0","0.2","12.5"
"Todd Gurley II","ATL","16.0","64.3","0.7","2.3","18.0","0.1","0.1","13.8"
"","high","16.7","72.8","1.0","3.4","23.5","0.1","0.1","15.7"
"","low","15.0","59.0","0.3","1.7","13.3","0.0","0.2","11.8"
"David Montgomery","CHI","16.4","63.0","0.5","3.1","24.1","0.1","0.1","13.6"
"","high","17.2","68.3","1.0","4.2","32.0","0.2","0.1","16.9"
"","low","15.4","55.0","0.2","2.3","18.7","0.0","0.2","11.6"
"Clyde Edwards-Helaire","KC","12.9","60.3","0.5","2.9","25.4","0.1","0.1","13.5"
"","high","19.1","70.0","1.0","3.7","33.0","0.2","0.0","14.7"
"","low","10.7","48.3","0.2","2.0","19.0","0.0","0.2","12.5"
"David Johnson","HOU","16.1","63.5","0.4","2.5","24.1","0.1","0.1","13.2"
"","high","19.0","74.5","0.6","3.6","36.7","0.2","0.1","15.6"
"","low","13.0","51.0","0.0","1.3","13.0","0.0","0.2","8.8"
"Melvin Gordon III","DEN","14.3","55.2","0.5","2.9","22.3","0.1","0.2","12.5"
"","high","17.1","65.0","1.0","4.3","36.0","0.3","0.1","15.6"
"","low","12.4","50.5","0.3","2.0","16.0","0.0","0.3","11.3"
"Antonio Gibson","WAS","14.1","51.2","0.5","2.7","21.8","0.1","0.1","12.1"
"","high","18.1","77.4","1.0","3.0","26.0","0.1","0.0","15.8"
"","low","12.5","21.1","0.1","2.3","18.3","0.0","0.2","7.0"
"Justin Jackson","LAC","12.5","55.3","0.4","2.9","24.6","0.1","0.1","12.0"
"","high","17.0","69.6","1.0","3.5","35.9","0.2","0.0","16.5"
"","low","9.2","37.0","0.2","2.0","13.0","0.0","0.2","8.1"
"Aaron Jones","GB","10.4","47.6","0.4","3.0","23.9","0.1","0.1","11.7"
"","high","13.7","63.5","0.7","4.3","40.0","0.2","0.1","15.9"
"","low","7.2","32.0","0.0","2.0","15.0","0.0","0.2","6.5"
"D'Andre Swift","DET","8.6","38.3","0.3","3.7","32.8","0.2","0.1","11.6"
"","high","13.2","56.7","0.5","5.0","46.0","0.4","0.0","14.8"
"","low","1.4","5.0","0.0","2.9","17.7","0.0","0.1","7.9"
"JaMycal Hasty","SF","12.2","55.2","0.5","2.3","15.0","0.1","0.1","11.6"
"","high","17.4","74.6","1.0","6.0","27.9","0.1","0.0","15.6"
"","low","1.0","4.0","0.0","0.1","1.0","0.0","0.1","1.8"
"Ronald Jones II","TB","13.0","52.7","0.5","2.5","18.3","0.1","0.1","11.4"
"","high","18.0","66.0","1.0","4.9","37.0","0.1","0.1","15.2"
"","low","11.0","43.6","0.3","1.1","6.8","0.0","0.2","9.5"
"DeeJay Dallas","SEA","11.6","50.7","0.5","2.3","17.5","0.1","0.1","11.3"
"","high","15.7","67.5","1.0","3.4","26.4","0.2","0.0","15.0"
"","low","1.9","7.0","0.1","0.4","4.0","0.0","0.1","2.8"
"Jonathan Taylor","IND","12.6","53.7","0.3","2.5","20.8","0.1","0.1","10.8"
"","high","15.4","67.3","0.6","3.5","30.0","0.1","0.0","14.1"
"","low","10.6","38.0","0.0","2.0","16.3","0.0","0.1","8.6"
"Ezekiel Elliott","DAL","14.9","59.5","0.2","2.8","20.1","0.1","0.2","10.7"
"","high","17.3","75.0","0.5","4.5","33.0","0.1","0.1","13.5"
"","low","9.1","40.7","0.0","1.9","13.2","0.0","0.3","8.4"
"Devin Singletary","BUF","11.1","49.5","0.2","2.7","20.5","0.1","0.1","9.8"
"","high","16.7","66.0","0.4","4.0","32.0","0.2","0.0","13.8"
"","low","8.6","37.1","0.0","1.9","15.0","0.0","0.1","7.6"
"Jerick McKinnon","SF","9.2","37.3","0.2","2.9","23.8","0.1","0.1","9.6"
"","high","13.4","56.0","0.4","4.2","32.0","0.4","0.0","15.2"
"","low","6.9","17.8","0.0","2.0","15.0","0.0","0.1","6.5"
"J.K. Dobbins","BAL","9.4","42.4","0.2","2.4","20.6","0.1","0.1","9.4"
"","high","15.0","65.0","0.3","4.2","37.6","0.2","0.0","10.9"
"","low","3.2","20.0","0.0","1.5","14.0","0.0","0.1","6.7"
"Damien Harris","NE","13.3","55.9","0.4","1.0","6.4","0.0","0.1","9.1"
"","high","20.0","75.0","1.0","2.6","18.0","0.1","0.0","14.8"
"","low","6.6","27.5","0.2","0.1","1.0","0.0","0.1","4.8"
"Leonard Fournette","TB","11.5","42.7","0.3","2.5","18.0","0.1","0.1","9.1"
"","high","17.6","63.9","0.5","4.0","29.0","0.1","0.0","12.6"
"","low","0.3","1.0","0.0","0.0","0.0","0.0","0.2","1.4"
"Zack Moss","BUF","10.4","42.6","0.4","1.5","11.4","0.1","0.1","9.0"
"","high","13.0","55.0","1.0","2.8","16.6","0.1","0.0","13.3"
"","low","7.6","31.0","0.3","0.8","7.3","0.0","0.1","7.2"
"Le'Veon Bell","KC","10.0","37.9","0.2","2.6","17.7","0.1","0.1","8.2"
"","high","14.7","51.1","0.5","4.3","24.8","0.2","0.0","11.4"
"","low","7.8","21.1","0.0","1.6","12.4","0.0","0.1","5.7"
"Wayne Gallman","NYG","10.2","42.9","0.2","2.0","13.7","0.0","0.1","8.1"
"","high","13.0","53.0","0.5","3.6","19.4","0.1","0.0","9.7"
"","low","6.1","24.0","0.0","1.0","7.0","0.0","0.1","5.0"
"Phillip Lindsay","DEN","10.5","47.2","0.2","1.6","10.0","0.0","0.0","7.7"
"","high","11.8","57.0","0.3","2.6","14.7","0.1","0.0","9.7"
"","low","9.6","36.1","0.0","0.8","5.5","0.0","0.1","6.2"
"Joshua Kelley","LAC","10.2","38.1","0.2","1.7","14.1","0.1","0.1","7.5"
"","high","12.4","49.6","0.4","2.7","30.0","0.2","0.1","9.7"
"","low","8.9","27.3","0.0","0.3","2.6","0.0","0.2","4.9"
"James White","NE","3.1","11.3","0.0","3.8","32.3","0.1","0.0","7.3"
"","high","4.6","17.9","0.1","5.0","40.3","0.3","0.0","8.6"
"","low","2.0","7.2","0.0","2.0","22.0","0.0","0.1","6.5"
"J.D. McKissic","WAS","4.4","18.3","0.1","3.6","27.9","0.1","0.1","7.2"
"","high","6.0","27.0","0.2","5.0","35.0","0.2","0.0","8.5"
"","low","2.6","9.0","0.0","2.7","18.8","0.0","0.3","5.8"
"Gus Edwards","BAL","11.3","47.8","0.3","0.5","3.1","0.0","0.0","7.2"
"","high","15.0","66.2","1.0","1.2","5.9","0.0","0.0","12.2"
"","low","5.8","26.6","0.1","0.0","0.0","0.0","0.1","4.1"
"Nyheim Hines","IND","4.4","16.3","0.1","3.5","27.5","0.1","0.1","7.0"
"","high","5.8","21.7","0.1","4.0","31.6","0.2","0.0","8.2"
"","low","3.0","12.7","0.0","2.6","25.0","0.0","0.1","5.8"
"Lamical Perine","NYJ","9.7","38.3","0.2","1.7","12.3","0.0","0.1","7.0"
"","high","12.1","47.0","0.3","2.8","17.4","0.1","0.0","8.3"
"","low","5.9","18.0","0.0","0.9","5.3","0.0","0.1","4.9"
"Jordan Howard","MIA","10.7","41.1","0.3","1.0","5.2","0.0","0.0","6.9"
"","high","14.6","55.0","0.5","2.1","8.9","0.1","0.0","9.6"
"","low","1.8","7.0","0.0","0.2","1.0","0.0","0.1","1.8"
"Tyler Ervin","GB","6.6","28.1","0.1","2.8","18.6","0.1","0.0","6.9"
"","high","10.5","44.3","0.3","4.0","25.4","0.2","0.0","9.8"
"","low","0.7","5.0","0.0","1.9","12.3","0.0","0.1","3.3"
"Mike Davis","CAR","7.5","26.3","0.1","2.9","18.1","0.1","0.1","6.9"
"","high","9.9","34.6","0.2","6.8","42.0","0.2","0.0","11.3"
"","low","4.3","8.0","0.0","1.3","9.5","0.0","0.1","3.9"
"Frank Gore","NYJ","10.9","44.4","0.2","1.2","7.9","0.0","0.1","6.9"
"","high","12.2","65.8","0.3","2.6","17.0","0.1","0.0","10.1"
"","low","7.0","27.0","0.0","0.7","4.0","0.0","0.1","3.7"
"Latavius Murray","NO","8.8","32.5","0.2","1.7","11.5","0.0","0.0","6.5"
"","high","12.1","43.9","0.4","2.3","17.0","0.1","0.0","7.6"
"","low","6.0","28.0","0.0","1.1","7.7","0.0","0.1","4.8"
"Adrian Peterson","DET","11.1","40.8","0.2","1.1","7.6","0.0","0.1","6.5"
"","high","15.9","54.4","0.3","2.0","15.0","0.1","0.0","7.7"
"","low","7.7","28.4","0.0","0.3","3.0","0.0","0.2","4.4"
"Brian Hill","ATL","6.4","29.2","0.1","1.8","13.2","0.0","0.1","6.0"
"","high","7.6","41.3","0.2","2.4","19.1","0.1","0.0","6.9"
"","low","4.8","20.0","0.0","1.1","7.0","0.0","0.1","4.5"
"Rex Burkhead","NE","6.1","22.6","0.1","1.8","16.6","0.1","0.1","5.9"
"","high","8.4","32.0","0.3","2.6","21.4","0.1","0.0","7.4"
"","low","4.0","13.0","0.0","1.0","12.0","0.0","0.1","4.0"
"Tony Pollard","DAL","8.0","31.2","0.1","1.6","11.4","0.0","0.0","5.8"
"","high","11.6","45.8","0.2","2.8","14.3","0.1","0.0","7.8"
"","low","1.7","8.0","0.0","1.0","7.0","0.0","0.1","2.6"
"Duke Johnson Jr.","HOU","3.6","16.1","0.1","2.3","20.2","0.1","0.0","5.7"
"","high","5.8","26.2","0.1","3.1","25.2","0.2","0.0","6.7"
"","low","2.0","9.0","0.0","1.7","15.6","0.0","0.1","3.9"
"Reggie Bonnafon","CAR","3.9","24.0","0.2","0.8","9.0","0.1","0.0","5.5"
"","high","3.9","24.0","0.2","0.8","9.0","0.1","0.0","5.2"
"","low","3.9","24.0","0.2","0.8","9.0","0.1","0.0","5.2"
"Alexander Mattison","MIN","6.5","29.2","0.1","1.3","8.1","0.0","0.0","5.3"
"","high","8.3","37.6","0.2","2.3","10.5","0.1","0.0","6.9"
"","low","4.0","18.0","0.0","1.0","6.0","0.0","0.1","3.0"
"Jordan Wilkins","IND","7.1","33.5","0.1","0.7","4.6","0.0","0.0","4.8"
"","high","9.8","46.8","0.2","1.4","7.6","0.0","0.0","6.3"
"","low","5.8","23.0","0.0","0.3","3.1","0.0","0.1","4.1"
"Patrick Laird","MIA","5.3","18.7","0.1","2.0","14.0","0.0","0.0","4.8"
"","high","9.3","33.7","0.2","3.5","27.0","0.1","0.0","6.8"
"","low","0.0","0.0","0.0","0.2","2.0","0.0","0.1","1.2"
"Cordarrelle Patterson","CHI","3.0","14.2","0.1","1.8","15.8","0.1","0.0","4.8"
"","high","3.0","14.2","0.1","1.8","15.8","0.1","0.0","4.8"
"","low","3.0","14.2","0.1","1.8","15.8","0.1","0.0","4.8"
"Chris Thompson","JAC","2.3","9.5","0.0","2.3","18.4","0.1","0.0","4.4"
"","high","3.4","11.9","0.1","3.0","23.3","0.1","0.0","5.4"
"","low","1.2","5.0","0.0","1.9","15.0","0.0","0.1","3.9"
"Sony Michel","NE","7.6","26.3","0.2","0.8","2.7","0.0","0.0","4.3"
"","high","9.5","38.8","0.3","0.9","4.4","0.0","0.0","6.7"
"","low","5.7","13.7","0.0","0.6","1.1","0.0","0.0","6.7"
"Travis Homer","SEA","4.4","18.0","0.1","1.7","7.6","0.1","0.0","4.1"
"","high","5.0","29.8","0.1","4.9","13.4","0.2","0.0","5.0"
"","low","3.3","11.4","0.0","0.6","2.2","0.0","0.1","2.9"
"Dexter Williams","GB","6.9","24.3","0.1","1.0","6.8","0.0","0.1","4.0"
"","high","12.0","47.0","0.2","2.4","12.7","0.1","0.0","6.0"
"","low","2.5","7.2","0.0","0.3","2.3","0.0","0.1","1.8"
"Jalen Richard","LV","2.6","11.4","0.1","1.9","13.7","0.0","0.0","3.9"
"","high","3.5","19.8","0.2","3.0","16.2","0.1","0.0","5.2"
"","low","1.0","4.0","0.0","1.4","10.7","0.0","0.1","3.2"
"Kyle Juszczyk","SF","1.0","4.1","0.1","1.8","18.1","0.1","0.0","3.8"
"","high","2.0","7.5","0.2","2.7","20.0","0.1","0.0","4.9"
"","low","0.2","1.0","0.0","1.4","16.1","0.0","0.1","3.4"
"Alfred Morris","NYG","5.8","24.7","0.1","0.6","3.1","0.0","0.0","3.6"
"","high","6.7","32.9","0.2","1.7","5.9","0.0","0.0","4.4"
"","low","4.9","19.9","0.0","0.0","0.0","0.0","0.1","2.7"
