"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Travis Kelce","KC","6.0","73.4","0.6","0.0","14.1"
"","high","6.5","84.0","1.0","0.0","16.7"
"","low","5.2","61.0","0.5","0.1","12.1"
"Darren Waller","LV","6.5","69.5","0.5","0.1","13.0"
"","high","7.6","84.1","1.0","0.0","16.4"
"","low","5.4","59.5","0.3","0.1","11.4"
"T.J. Hockenson","DET","4.6","53.0","0.5","0.0","10.7"
"","high","5.4","62.0","1.0","0.0","13.8"
"","low","3.7","41.6","0.3","0.1","9.9"
"Noah Fant","DEN","4.2","51.5","0.5","0.0","10.0"
"","high","4.5","57.0","1.0","0.0","13.6"
"","low","4.0","47.3","0.3","0.1","8.7"
"Mark Andrews","BAL","3.9","49.5","0.5","0.0","9.9"
"","high","5.0","58.0","1.0","0.0","13.7"
"","low","3.2","39.6","0.4","0.0","8.4"
"Jared Cook","NO","3.8","48.8","0.5","0.0","9.5"
"","high","5.0","60.9","1.0","0.0","13.4"
"","low","3.1","41.7","0.2","0.0","7.5"
"Robert Tonyan","GB","3.8","46.4","0.5","0.0","9.4"
"","high","6.0","65.0","1.0","0.0","14.4"
"","low","2.8","32.9","0.1","0.0","7.1"
"Hunter Henry","LAC","4.3","52.1","0.3","0.0","9.2"
"","high","6.0","77.0","0.5","0.0","13.0"
"","low","3.0","39.0","0.0","0.1","6.0"
"Rob Gronkowski","TB","3.6","48.4","0.4","0.0","9.2"
"","high","4.5","69.1","1.0","0.0","12.1"
"","low","3.2","37.0","0.2","0.0","7.9"
"Hayden Hurst","ATL","4.0","46.4","0.3","0.0","8.6"
"","high","4.8","52.9","0.6","0.0","10.3"
"","low","3.4","40.0","0.0","0.0","7.1"
"Jordan Reed","SF","4.4","47.0","0.2","0.0","8.3"
"","high","7.3","80.5","0.5","0.0","13.5"
"","low","1.9","18.5","0.0","0.1","5.8"
"Jonnu Smith","TEN","3.7","42.7","0.3","0.0","7.9"
"","high","4.9","57.2","0.6","0.0","10.6"
"","low","2.7","32.3","0.0","0.0","6.3"
"Evan Engram","NYG","4.4","46.7","0.2","0.0","7.9"
"","high","5.2","58.4","0.4","0.0","9.4"
"","low","4.0","39.0","0.0","0.0","7.1"
"Eric Ebron","PIT","3.9","43.3","0.3","0.0","7.8"
"","high","5.2","58.0","0.5","0.0","9.5"
"","low","2.8","30.3","0.0","0.1","6.4"
"Jimmy Graham","CHI","3.8","39.8","0.2","0.0","7.1"
"","high","4.8","54.4","0.4","0.0","7.9"
"","low","3.0","31.8","0.0","0.0","5.8"
"Mike Gesicki","MIA","3.6","42.2","0.2","0.0","7.0"
"","high","4.6","54.0","0.3","0.0","8.8"
"","low","2.7","33.1","0.0","0.1","6.2"
"Trey Burton","IND","3.4","34.3","0.3","0.0","6.9"
"","high","5.3","50.0","1.0","0.0","12.2"
"","low","2.4","25.0","0.0","0.0","5.7"
"Logan Thomas","WAS","3.6","35.8","0.2","0.0","6.5"
"","high","5.6","51.8","0.5","0.0","8.0"
"","low","2.8","25.2","0.0","0.0","5.3"
"Dalton Schultz","DAL","3.2","34.6","0.1","0.0","5.7"
"","high","3.7","39.0","0.2","0.0","6.2"
"","low","2.9","30.0","0.0","0.1","4.9"
"Jake Butt","DEN","3.0","35.0","0.1","0.0","5.6"
"","high","3.0","35.0","0.1","0.0","5.2"
"","low","3.0","35.0","0.1","0.0","5.2"
"Jordan Akins","HOU","2.7","30.1","0.1","0.0","5.2"
"","high","3.4","40.2","0.3","0.0","6.0"
"","low","2.2","23.0","0.0","0.0","4.3"
"Albert Okwuegbunam","DEN","2.6","29.9","0.2","0.0","5.2"
"","high","3.0","37.4","0.3","0.0","6.6"
"","low","1.6","18.5","0.0","0.1","4.0"
"Greg Olsen","SEA","2.7","29.1","0.2","0.0","5.2"
"","high","3.0","35.2","0.4","0.0","6.2"
"","low","2.3","24.2","0.0","0.0","4.7"
"Anthony Firkser","TEN","2.3","27.0","0.2","0.0","4.9"
"","high","2.6","33.9","0.3","0.0","5.8"
"","low","1.9","19.9","0.0","0.0","4.2"
"Tyler Eifert","JAC","2.4","27.1","0.2","0.0","4.8"
"","high","2.6","31.7","0.2","0.0","5.6"
"","low","2.2","21.0","0.0","0.0","4.5"
"Irv Smith Jr.","MIN","2.4","25.7","0.1","0.0","4.5"
"","high","3.9","39.1","0.2","0.0","5.6"
"","low","1.6","13.0","0.0","0.0","2.9"
"Darren Fells","HOU","2.0","22.5","0.2","0.0","4.4"
"","high","3.0","33.0","0.4","0.0","6.1"
"","low","1.3","14.4","0.0","0.0","3.4"
"Jack Doyle","IND","2.3","23.6","0.1","0.0","4.3"
"","high","3.2","32.4","0.3","0.0","5.9"
"","low","1.4","13.0","0.0","0.1","3.0"
"Kyle Rudolph","MIN","2.0","20.9","0.2","0.0","4.0"
"","high","2.7","26.3","0.3","0.0","4.4"
"","low","1.7","17.0","0.0","0.0","2.9"
"Chris Herndon IV","NYJ","2.3","23.1","0.1","0.1","3.8"
"","high","4.4","41.0","0.2","0.0","6.2"
"","low","1.0","15.0","0.0","0.2","2.6"
"Mo Alie-Cox","IND","1.6","21.6","0.1","0.0","3.6"
"","high","2.0","29.2","0.2","0.0","4.6"
"","low","1.0","10.0","0.0","0.0","1.8"
"Ross Dwelley","SF","2.2","20.9","0.1","0.0","3.6"
"","high","5.4","41.0","0.2","0.0","5.1"
"","low","0.4","3.0","0.0","0.0","1.7"
"Dan Arnold","ARI","1.6","20.6","0.1","0.0","3.3"
"","high","2.0","32.2","0.1","0.0","4.6"
"","low","0.9","12.8","0.0","0.0","2.6"
"Ian Thomas","CAR","1.9","17.6","0.1","0.0","3.3"
"","high","3.0","26.5","0.2","0.0","3.8"
"","low","1.0","15.0","0.0","0.0","2.4"
"Dawson Knox","BUF","1.6","19.9","0.1","0.0","3.2"
"","high","1.9","24.6","0.2","0.0","4.3"
"","low","1.0","7.0","0.0","0.1","1.5"
"Will Dissly","SEA","1.5","17.1","0.1","0.0","3.2"
"","high","2.6","32.7","0.2","0.0","3.7"
"","low","1.0","9.9","0.0","0.0","2.1"
"Foster Moreau","LV","1.3","13.7","0.2","0.0","3.0"
"","high","2.1","19.7","0.3","0.0","3.4"
"","low","0.9","10.0","0.0","0.0","3.0"
"Ryan Izzo","NE","1.4","16.6","0.1","0.0","3.0"
"","high","1.7","20.4","0.2","0.0","3.4"
"","low","0.8","10.0","0.1","0.1","2.6"
"Adam Trautman","NO","1.5","16.8","0.1","0.0","3.0"
"","high","2.3","29.0","0.2","0.0","4.5"
"","low","0.8","7.6","0.0","0.0","2.1"
"James O'Shaughnessy","JAC","1.7","17.0","0.1","0.0","3.0"
"","high","2.8","27.3","0.1","0.0","3.3"
"","low","1.1","11.6","0.0","0.0","2.4"
"Kaden Smith","NYG","1.8","15.1","0.1","0.0","3.0"
"","high","2.5","19.5","0.2","0.0","3.3"
"","low","1.4","11.4","0.0","0.0","2.6"
"Nick Vannett","DEN","1.8","16.3","0.1","0.0","2.9"
"","high","3.1","29.0","0.2","0.0","5.1"
"","low","0.7","6.2","0.0","0.0","1.5"
"Andrew Beck","DEN","1.4","16.0","0.1","0.0","2.9"
"","high","1.4","16.0","0.1","0.0","3.1"
"","low","1.4","16.0","0.1","0.0","3.1"
"Jace Sternberger","GB","1.5","15.6","0.1","0.0","2.8"
"","high","2.2","27.0","0.2","0.0","4.1"
"","low","1.0","10.0","0.0","0.0","1.7"
"Josh Hill","NO","1.6","15.6","0.1","0.0","2.7"
"","high","2.3","26.0","0.1","0.0","4.1"
"","low","0.8","7.4","0.0","0.0","1.9"
"Marcedes Lewis","GB","1.4","14.1","0.1","0.0","2.7"
"","high","1.5","14.9","0.2","0.0","3.4"
"","low","1.3","13.2","0.0","0.0","3.4"
"Tyler Kroft","BUF","1.4","15.0","0.1","0.0","2.7"
"","high","2.6","26.0","0.2","0.0","3.4"
"","low","0.7","7.6","0.0","0.0","1.9"
"Nick Boyle","BAL","1.5","14.0","0.1","0.0","2.7"
"","high","2.5","21.4","0.1","0.0","3.2"
"","low","0.9","7.7","0.0","0.0","2.1"
"Cameron Brate","TB","1.2","13.1","0.1","0.0","2.6"
"","high","1.8","19.0","0.2","0.0","3.3"
"","low","0.9","8.0","0.0","0.0","2.1"
"Adam Shaheen","MIA","1.2","12.0","0.1","0.0","2.5"
"","high","1.6","15.6","0.4","0.0","4.6"
"","low","0.9","9.9","0.0","0.1","1.8"
"Cole Kmet","CHI","1.2","13.1","0.1","0.0","2.4"
"","high","1.8","19.4","0.2","0.0","3.6"
"","low","0.7","7.0","0.0","0.0","1.5"
"Jesse James","DET","1.3","14.4","0.1","0.0","2.4"
"","high","1.9","23.5","0.1","0.0","3.6"
"","low","0.6","7.4","0.0","0.0","1.7"
"Vance McDonald","PIT","1.3","12.9","0.1","0.0","2.3"
"","high","1.9","19.0","0.1","0.0","3.1"
"","low","0.7","7.1","0.0","0.0","1.7"
"Jason Witten","LV","1.3","11.2","0.1","0.0","2.2"
"","high","2.2","19.6","0.1","0.0","2.8"
"","low","0.8","6.0","0.0","0.0","1.8"
"MyCole Pruitt","TEN","1.1","10.1","0.1","0.0","2.2"
"","high","1.2","12.6","0.2","0.0","2.6"
"","low","0.9","8.0","0.0","0.0","1.8"
"Durham Smythe","MIA","1.2","11.8","0.1","0.0","2.2"
"","high","2.0","18.0","0.1","0.0","2.6"
"","low","0.6","5.7","0.0","0.0","1.7"
"Donald Parham Jr.","LAC","1.1","12.1","0.0","0.0","2.1"
"","high","2.0","18.1","0.1","0.0","2.5"
"","low","0.3","3.0","0.0","0.0","1.0"
"Jacob Hollister","SEA","1.1","10.0","0.1","0.0","2.0"
"","high","2.1","18.1","0.2","0.0","2.6"
"","low","0.7","6.0","0.0","0.0","1.2"
"Nick Keizer","KC","1.0","10.5","0.1","0.0","1.9"
"","high","1.6","17.3","0.1","0.0","1.8"
"","low","0.6","7.0","0.0","0.0","1.5"
"Gabe Nabers","LAC","1.2","12.9","0.0","0.0","1.8"
"","high","1.2","12.9","0.0","0.0","0.0"
"","low","1.2","12.9","0.0","0.0","0.0"
"Demetrius Harris","CHI","1.1","9.8","0.1","0.0","1.8"
"","high","1.4","14.5","0.1","0.0","2.2"
"","low","0.9","6.9","0.0","0.0","1.5"
"Isaac Nauta","DET","1.2","12.7","0.0","0.0","1.8"
"","high","1.2","12.7","0.0","0.0","0.0"
"","low","1.2","12.7","0.0","0.0","0.0"
"Maxx Williams","ARI","0.9","9.8","0.1","0.0","1.8"
"","high","1.0","10.6","0.1","0.0","2.1"
"","low","0.9","8.4","0.0","0.0","1.7"
"Darrell Daniels","ARI","1.0","10.8","0.0","0.0","1.8"
"","high","1.6","18.1","0.1","0.0","2.1"
"","low","0.4","4.0","0.0","0.0","0.9"
"Ryan Griffin","NYJ","1.0","10.1","0.0","0.0","1.8"
"","high","1.8","17.6","0.1","0.0","2.2"
"","low","0.5","4.0","0.0","0.0","1.0"
"Evan Baylis","ARI","0.7","7.5","0.1","0.0","1.7"
"","high","0.7","7.5","0.1","0.0","1.7"
"","low","0.7","7.5","0.1","0.0","1.7"
"Zach Gentry","PIT","0.8","6.7","0.1","0.0","1.7"
"","high","0.8","6.7","0.1","0.0","1.7"
"","low","0.8","6.7","0.1","0.0","1.7"
"Charlie Woerner","SF","0.8","9.6","0.0","0.0","1.7"
"","high","1.4","15.2","0.1","0.0","2.5"
"","low","0.1","1.0","0.0","0.0","0.5"
"Blake Bell","DAL","1.0","11.2","0.0","0.0","1.6"
"","high","1.3","13.5","0.0","0.0","1.8"
"","low","0.7","9.1","0.0","0.0","1.4"
"Daniel Helm","SF","0.6","7.2","0.1","0.0","1.6"
"","high","0.6","7.2","0.1","0.0","1.6"
"","low","0.6","7.2","0.1","0.0","1.6"
"Farrod Green","IND","0.7","6.5","0.1","0.0","1.6"
"","high","0.7","6.5","0.1","0.0","1.6"
"","low","0.7","6.5","0.1","0.0","1.6"
"Chris Manhertz","CAR","1.0","10.6","0.0","0.0","1.6"
"","high","1.3","15.3","0.0","0.0","1.7"
"","low","0.7","6.6","0.0","0.0","1.2"
"Ben Ellefson","JAC","1.0","10.7","0.0","0.0","1.5"
"","high","1.0","10.7","0.0","0.0","0.0"
"","low","1.0","10.7","0.0","0.0","0.0"
"Luke Stocker","ATL","1.0","8.4","0.0","0.0","1.5"
"","high","1.6","13.2","0.1","0.0","1.7"
"","low","0.6","6.0","0.0","0.0","1.3"
"Temarrick Hemingway","WAS","0.9","9.6","0.0","0.0","1.4"
"","high","1.2","12.8","0.0","0.0","1.1"
"","low","0.6","6.4","0.0","0.0","1.1"
"Taysom Hill","NO","0.7","7.4","0.1","0.0","1.4"
"","high","0.8","8.5","0.1","0.0","3.0"
"","low","0.6","6.3","0.1","0.0","2.5"
"Stephen Anderson","LAC","0.7","8.1","0.0","0.0","1.3"
"","high","1.3","14.1","0.1","0.0","2.3"
"","low","0.2","3.0","0.0","0.0","0.7"
"Antony Auclair","TB","0.6","6.5","0.1","0.0","1.3"
"","high","0.7","6.6","0.1","0.0","1.6"
"","low","0.6","6.5","0.0","0.0","1.6"
"Jordan Thomas","ARI","0.5","4.4","0.1","0.0","1.3"
"","high","0.8","7.8","0.2","0.0","2.2"
"","low","0.1","1.0","0.0","0.0","0.4"
"Jaeden Graham","ATL","0.6","7.5","0.0","0.0","1.3"
"","high","0.8","10.4","0.1","0.0","1.9"
"","low","0.2","3.0","0.0","0.0","0.7"
"Jeremy Sprinkle","WAS","0.7","6.8","0.0","0.0","1.3"
"","high","1.5","13.5","0.1","0.0","1.6"
"","low","0.1","1.0","0.0","0.0","0.6"
"John Lovett","GB","0.7","8.0","0.0","0.0","1.2"
"","high","0.7","8.0","0.0","0.0","1.4"
"","low","0.7","8.0","0.0","0.0","1.4"
"Tanner Hudson","TB","0.7","7.7","0.0","0.0","1.1"
"","high","1.2","13.5","0.0","0.0","0.7"
"","low","0.2","2.0","0.0","0.0","0.7"
"Pharaoh Brown","HOU","0.6","6.4","0.0","0.0","1.1"
"","high","1.0","11.2","0.1","0.0","1.7"
"","low","0.0","0.0","0.0","0.0","0.3"
"Eric Saubert","JAC","0.7","7.2","0.0","0.0","1.1"
"","high","0.7","7.2","0.0","0.0","1.1"
"","low","0.7","7.2","0.0","0.0","1.1"
"Tyler Conklin","MIN","0.7","7.3","0.0","0.0","1.1"
"","high","1.2","12.7","0.0","0.0","1.1"
"","low","0.3","2.0","0.0","0.0","0.6"
"Levine Toilolo","NYG","0.6","7.2","0.0","0.0","1.0"
"","high","0.7","9.7","0.0","0.0","1.1"
"","low","0.3","4.0","0.0","0.0","0.7"
"Derek Carrier","LV","0.5","4.7","0.0","0.0","0.9"
"","high","0.7","6.2","0.1","0.0","1.5"
"","low","0.2","2.0","0.0","0.0","0.6"
"Colin Thompson","CAR","0.5","5.7","0.0","0.0","0.8"
"","high","0.8","8.4","0.0","0.0","0.7"
"","low","0.3","3.0","0.0","0.0","0.7"
"Jakob Johnson","NE","0.2","0.8","0.1","0.0","0.8"
"","high","0.2","0.8","0.1","0.0","0.8"
"","low","0.2","0.8","0.1","0.0","0.8"
"Trevon Wesco","NYJ","0.5","5.0","0.0","0.0","0.8"
"","high","0.5","5.0","0.0","0.0","0.8"
"","low","0.5","5.0","0.0","0.0","0.8"
"Deon Yelder","KC","0.5","4.9","0.0","0.0","0.7"
"","high","0.9","10.2","0.0","0.0","0.5"
"","low","0.2","2.0","0.0","0.0","0.5"
"J.P. Holtz","CHI","0.4","4.7","0.0","0.0","0.7"
"","high","0.7","7.2","0.0","0.0","0.7"
"","low","0.1","2.0","0.0","0.0","0.4"
"Sean McKeon","DAL","0.3","3.4","0.0","0.0","0.5"
"","high","0.4","4.8","0.0","0.0","0.3"
"","low","0.2","2.0","0.0","0.0","0.3"
"Patrick Scales","CHI","0.2","2.0","0.0","0.0","0.3"
"","high","0.2","2.0","0.0","0.0","0.3"
"","low","0.2","2.0","0.0","0.0","0.3"
"Marcus Baugh","WAS","0.1","2.0","0.0","0.0","0.3"
"","high","0.1","2.0","0.0","0.0","0.3"
"","low","0.1","2.0","0.0","0.0","0.3"
"Reggie Gilliam","BUF","0.1","1.0","0.0","0.0","0.2"
"","high","0.1","1.0","0.0","0.0","0.2"
"","low","0.1","1.0","0.0","0.0","0.2"
"Lee Smith","BUF","0.1","1.0","0.0","0.0","0.2"
"","high","0.1","1.0","0.0","0.0","0.2"
"","low","0.1","1.0","0.0","0.0","0.2"
"Daniel Brown","NYJ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Garrett Griffin","NO","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
""
""